sum_click,code_module,code_presentation,activity_type,id_student,date,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result
13,AAA,2013J,subpage,70464,-10,F,West Midlands Region,A Level or Equivalent,60-70%,35-55,0,60,N,Pass
1,AAA,2013J,url,70464,-10,F,West Midlands Region,A Level or Equivalent,60-70%,35-55,0,60,N,Pass
7,AAA,2013J,forumng,71361,-10,M,Ireland,HE Qualification,,35-55,0,60,N,Pass
25,AAA,2013J,homepage,71361,-10,M,Ireland,HE Qualification,,35-55,0,60,N,Pass
14,AAA,2013J,oucontent,71361,-10,M,Ireland,HE Qualification,,35-55,0,60,N,Pass
6,AAA,2013J,resource,71361,-10,M,Ireland,HE Qualification,,35-55,0,60,N,Pass
5,AAA,2013J,subpage,71361,-10,M,Ireland,HE Qualification,,35-55,0,60,N,Pass
1,AAA,2013J,dataplus,75091,-10,M,South West Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass
18,AAA,2013J,forumng,75091,-10,M,South West Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass
55,AAA,2013J,homepage,75091,-10,M,South West Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass
137,AAA,2013J,oucontent,75091,-10,M,South West Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass
19,AAA,2013J,resource,75091,-10,M,South West Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass
36,AAA,2013J,subpage,75091,-10,M,South West Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass
6,AAA,2013J,url,75091,-10,M,South West Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass
9,AAA,2013J,forumng,77367,-10,M,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,60,N,Pass
10,AAA,2013J,homepage,77367,-10,M,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,60,N,Pass
6,AAA,2013J,oucontent,77367,-10,M,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,60,N,Pass
2,AAA,2013J,resource,77367,-10,M,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,60,N,Pass
4,AAA,2013J,forumng,94961,-10,M,South Region,Lower Than A Level,70-80%,35-55,0,60,N,Withdrawn
4,AAA,2013J,forumng,94961,-10,M,South Region,Lower Than A Level,70-80%,35-55,1,60,N,Pass
6,AAA,2013J,homepage,94961,-10,M,South Region,Lower Than A Level,70-80%,35-55,0,60,N,Withdrawn
6,AAA,2013J,homepage,94961,-10,M,South Region,Lower Than A Level,70-80%,35-55,1,60,N,Pass
26,AAA,2013J,oucontent,94961,-10,M,South Region,Lower Than A Level,70-80%,35-55,0,60,N,Withdrawn
26,AAA,2013J,oucontent,94961,-10,M,South Region,Lower Than A Level,70-80%,35-55,1,60,N,Pass
5,AAA,2013J,subpage,94961,-10,M,South Region,Lower Than A Level,70-80%,35-55,0,60,N,Withdrawn
5,AAA,2013J,subpage,94961,-10,M,South Region,Lower Than A Level,70-80%,35-55,1,60,N,Pass
2,AAA,2013J,dataplus,98094,-10,M,Wales,Lower Than A Level,70-80%,35-55,0,60,N,Pass
3,AAA,2013J,forumng,98094,-10,M,Wales,Lower Than A Level,70-80%,35-55,0,60,N,Pass
38,AAA,2013J,homepage,98094,-10,M,Wales,Lower Than A Level,70-80%,35-55,0,60,N,Pass
134,AAA,2013J,oucontent,98094,-10,M,Wales,Lower Than A Level,70-80%,35-55,0,60,N,Pass
20,AAA,2013J,resource,98094,-10,M,Wales,Lower Than A Level,70-80%,35-55,0,60,N,Pass
43,AAA,2013J,subpage,98094,-10,M,Wales,Lower Than A Level,70-80%,35-55,0,60,N,Pass
1,AAA,2013J,forumng,101781,-10,M,South Region,Lower Than A Level,80-90%,35-55,0,60,N,Pass
5,AAA,2013J,homepage,101781,-10,M,South Region,Lower Than A Level,80-90%,35-55,0,60,N,Pass
4,AAA,2013J,oucontent,101781,-10,M,South Region,Lower Than A Level,80-90%,35-55,0,60,N,Pass
4,AAA,2013J,homepage,102806,-10,M,North Western Region,A Level or Equivalent,30-40%,0-35,0,60,N,Pass
5,AAA,2013J,oucontent,102806,-10,M,North Western Region,A Level or Equivalent,30-40%,0-35,0,60,N,Pass
1,AAA,2013J,subpage,102806,-10,M,North Western Region,A Level or Equivalent,30-40%,0-35,0,60,N,Pass
1,AAA,2013J,dataplus,104476,-10,M,Ireland,Post Graduate Qualification,,35-55,0,60,N,Pass
7,AAA,2013J,forumng,104476,-10,M,Ireland,Post Graduate Qualification,,35-55,0,60,N,Pass
35,AAA,2013J,homepage,104476,-10,M,Ireland,Post Graduate Qualification,,35-55,0,60,N,Pass
135,AAA,2013J,oucontent,104476,-10,M,Ireland,Post Graduate Qualification,,35-55,0,60,N,Pass
6,AAA,2013J,resource,104476,-10,M,Ireland,Post Graduate Qualification,,35-55,0,60,N,Pass
27,AAA,2013J,subpage,104476,-10,M,Ireland,Post Graduate Qualification,,35-55,0,60,N,Pass
4,AAA,2013J,url,104476,-10,M,Ireland,Post Graduate Qualification,,35-55,0,60,N,Pass
1,AAA,2013J,forumng,106577,-10,M,East Midlands Region,Lower Than A Level,20-30%,0-35,0,60,N,Pass
6,AAA,2013J,homepage,106577,-10,M,East Midlands Region,Lower Than A Level,20-30%,0-35,0,60,N,Pass
1,AAA,2013J,oucontent,106577,-10,M,East Midlands Region,Lower Than A Level,20-30%,0-35,0,60,N,Pass
1,AAA,2013J,resource,106577,-10,M,East Midlands Region,Lower Than A Level,20-30%,0-35,0,60,N,Pass
1,AAA,2013J,subpage,106577,-10,M,East Midlands Region,Lower Than A Level,20-30%,0-35,0,60,N,Pass
8,AAA,2013J,homepage,110175,-10,M,East Anglian Region,HE Qualification,80-90%,35-55,0,60,N,Pass
7,AAA,2013J,oucontent,110175,-10,M,East Anglian Region,HE Qualification,80-90%,35-55,0,60,N,Pass
5,AAA,2013J,resource,110175,-10,M,East Anglian Region,HE Qualification,80-90%,35-55,0,60,N,Pass
2,AAA,2013J,subpage,110175,-10,M,East Anglian Region,HE Qualification,80-90%,35-55,0,60,N,Pass
4,AAA,2013J,forumng,111717,-10,F,East Anglian Region,HE Qualification,90-100%,35-55,0,60,N,Pass
9,AAA,2013J,homepage,111717,-10,F,East Anglian Region,HE Qualification,90-100%,35-55,0,60,N,Pass
88,AAA,2013J,oucontent,111717,-10,F,East Anglian Region,HE Qualification,90-100%,35-55,0,60,N,Pass
3,AAA,2013J,resource,111717,-10,F,East Anglian Region,HE Qualification,90-100%,35-55,0,60,N,Pass
7,AAA,2013J,subpage,111717,-10,F,East Anglian Region,HE Qualification,90-100%,35-55,0,60,N,Pass
5,AAA,2013J,forumng,114999,-10,M,Yorkshire Region,HE Qualification,60-70%,35-55,0,60,N,Pass
6,AAA,2013J,homepage,114999,-10,M,Yorkshire Region,HE Qualification,60-70%,35-55,0,60,N,Pass
7,AAA,2013J,oucontent,114999,-10,M,Yorkshire Region,HE Qualification,60-70%,35-55,0,60,N,Pass
3,AAA,2013J,resource,114999,-10,M,Yorkshire Region,HE Qualification,60-70%,35-55,0,60,N,Pass
16,AAA,2013J,homepage,116692,-10,M,East Anglian Region,A Level or Equivalent,70-80%,35-55,0,60,N,Pass
54,AAA,2013J,oucontent,116692,-10,M,East Anglian Region,A Level or Equivalent,70-80%,35-55,0,60,N,Pass
3,AAA,2013J,resource,116692,-10,M,East Anglian Region,A Level or Equivalent,70-80%,35-55,0,60,N,Pass
22,AAA,2013J,subpage,116692,-10,M,East Anglian Region,A Level or Equivalent,70-80%,35-55,0,60,N,Pass
1,AAA,2013J,url,116692,-10,M,East Anglian Region,A Level or Equivalent,70-80%,35-55,0,60,N,Pass
2,AAA,2013J,homepage,118983,-10,M,East Midlands Region,HE Qualification,30-40%,0-35,0,120,N,Pass
4,AAA,2013J,oucontent,118983,-10,M,East Midlands Region,HE Qualification,30-40%,0-35,0,120,N,Pass
2,AAA,2013J,subpage,118983,-10,M,East Midlands Region,HE Qualification,30-40%,0-35,0,120,N,Pass
2,AAA,2013J,homepage,123044,-10,M,South Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass
1,AAA,2013J,oucontent,123044,-10,M,South Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass
3,AAA,2013J,forumng,127582,-10,F,East Midlands Region,A Level or Equivalent,40-50%,0-35,0,180,N,Pass
5,AAA,2013J,homepage,127582,-10,F,East Midlands Region,A Level or Equivalent,40-50%,0-35,0,180,N,Pass
5,AAA,2013J,oucontent,127582,-10,F,East Midlands Region,A Level or Equivalent,40-50%,0-35,0,180,N,Pass
1,AAA,2013J,subpage,127582,-10,F,East Midlands Region,A Level or Equivalent,40-50%,0-35,0,180,N,Pass
3,AAA,2013J,homepage,129955,-10,M,West Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,N,Withdrawn
3,AAA,2013J,homepage,129955,-10,M,West Midlands Region,A Level or Equivalent,50-60%,0-35,1,60,N,Withdrawn
14,AAA,2013J,oucontent,129955,-10,M,West Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,N,Withdrawn
14,AAA,2013J,oucontent,129955,-10,M,West Midlands Region,A Level or Equivalent,50-60%,0-35,1,60,N,Withdrawn
1,AAA,2013J,subpage,129955,-10,M,West Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,N,Withdrawn
1,AAA,2013J,subpage,129955,-10,M,West Midlands Region,A Level or Equivalent,50-60%,0-35,1,60,N,Withdrawn
5,AAA,2013J,homepage,132976,-10,F,East Anglian Region,Lower Than A Level,80-90%,35-55,0,120,N,Pass
3,AAA,2013J,oucontent,132976,-10,F,East Anglian Region,Lower Than A Level,80-90%,35-55,0,120,N,Pass
1,AAA,2013J,resource,132976,-10,F,East Anglian Region,Lower Than A Level,80-90%,35-55,0,120,N,Pass
6,AAA,2013J,subpage,132976,-10,F,East Anglian Region,Lower Than A Level,80-90%,35-55,0,120,N,Pass
5,AAA,2013J,homepage,134143,-10,F,South East Region,A Level or Equivalent,90-100%,35-55,0,60,N,Distinction
1,AAA,2013J,resource,134143,-10,F,South East Region,A Level or Equivalent,90-100%,35-55,0,60,N,Distinction
1,AAA,2013J,subpage,134143,-10,F,South East Region,A Level or Equivalent,90-100%,35-55,0,60,N,Distinction
2,AAA,2013J,homepage,135335,-10,F,East Anglian Region,Lower Than A Level,20-30%,0-35,0,180,N,Withdrawn
2,AAA,2013J,homepage,135335,-10,F,East Anglian Region,Lower Than A Level,20-30%,0-35,1,120,N,Withdrawn
5,AAA,2013J,forumng,137873,-10,M,South West Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass
7,AAA,2013J,homepage,137873,-10,M,South West Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass
5,AAA,2013J,oucontent,137873,-10,M,South West Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass
1,AAA,2013J,subpage,137873,-10,M,South West Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass
10,AAA,2013J,forumng,144801,-10,F,South Region,HE Qualification,80-90%,35-55,0,60,N,Pass
18,AAA,2013J,homepage,144801,-10,F,South Region,HE Qualification,80-90%,35-55,0,60,N,Pass
29,AAA,2013J,oucontent,144801,-10,F,South Region,HE Qualification,80-90%,35-55,0,60,N,Pass
3,AAA,2013J,resource,144801,-10,F,South Region,HE Qualification,80-90%,35-55,0,60,N,Pass
14,AAA,2013J,subpage,144801,-10,F,South Region,HE Qualification,80-90%,35-55,0,60,N,Pass
2,AAA,2013J,url,144801,-10,F,South Region,HE Qualification,80-90%,35-55,0,60,N,Pass
1,AAA,2013J,homepage,145130,-10,M,South West Region,HE Qualification,60-70%,0-35,0,120,N,Pass
10,AAA,2013J,oucontent,145130,-10,M,South West Region,HE Qualification,60-70%,0-35,0,120,N,Pass
5,AAA,2013J,subpage,145130,-10,M,South West Region,HE Qualification,60-70%,0-35,0,120,N,Pass
5,AAA,2013J,homepage,146188,-10,F,West Midlands Region,A Level or Equivalent,20-30%,0-35,0,60,Y,Fail
14,AAA,2013J,oucontent,146188,-10,F,West Midlands Region,A Level or Equivalent,20-30%,0-35,0,60,Y,Fail
3,AAA,2013J,resource,146188,-10,F,West Midlands Region,A Level or Equivalent,20-30%,0-35,0,60,Y,Fail
5,AAA,2013J,subpage,146188,-10,F,West Midlands Region,A Level or Equivalent,20-30%,0-35,0,60,Y,Fail
4,AAA,2013J,homepage,147756,-10,M,North Region,Lower Than A Level,60-70%,0-35,0,120,N,Fail
4,AAA,2013J,homepage,147756,-10,M,North Region,Lower Than A Level,60-70%,0-35,1,120,N,Pass
10,AAA,2013J,oucontent,147756,-10,M,North Region,Lower Than A Level,60-70%,0-35,0,120,N,Fail
10,AAA,2013J,oucontent,147756,-10,M,North Region,Lower Than A Level,60-70%,0-35,1,120,N,Pass
1,AAA,2013J,resource,147756,-10,M,North Region,Lower Than A Level,60-70%,0-35,0,120,N,Fail
1,AAA,2013J,resource,147756,-10,M,North Region,Lower Than A Level,60-70%,0-35,1,120,N,Pass
10,AAA,2013J,forumng,148993,-10,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,Y,Withdrawn
10,AAA,2013J,forumng,148993,-10,F,North Western Region,A Level or Equivalent,30-40%,35-55,1,60,Y,Pass
15,AAA,2013J,homepage,148993,-10,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,Y,Withdrawn
15,AAA,2013J,homepage,148993,-10,F,North Western Region,A Level or Equivalent,30-40%,35-55,1,60,Y,Pass
74,AAA,2013J,oucontent,148993,-10,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,Y,Withdrawn
74,AAA,2013J,oucontent,148993,-10,F,North Western Region,A Level or Equivalent,30-40%,35-55,1,60,Y,Pass
2,AAA,2013J,resource,148993,-10,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,Y,Withdrawn
2,AAA,2013J,resource,148993,-10,F,North Western Region,A Level or Equivalent,30-40%,35-55,1,60,Y,Pass
6,AAA,2013J,subpage,148993,-10,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,Y,Withdrawn
6,AAA,2013J,subpage,148993,-10,F,North Western Region,A Level or Equivalent,30-40%,35-55,1,60,Y,Pass
1,AAA,2013J,url,148993,-10,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,Y,Withdrawn
1,AAA,2013J,url,148993,-10,F,North Western Region,A Level or Equivalent,30-40%,35-55,1,60,Y,Pass
2,AAA,2013J,homepage,155550,-10,M,London Region,A Level or Equivalent,0-10%,35-55,0,420,N,Pass
9,AAA,2013J,oucontent,155550,-10,M,London Region,A Level or Equivalent,0-10%,35-55,0,420,N,Pass
1,AAA,2013J,resource,155550,-10,M,London Region,A Level or Equivalent,0-10%,35-55,0,420,N,Pass
5,AAA,2013J,subpage,155550,-10,M,London Region,A Level or Equivalent,0-10%,35-55,0,420,N,Pass
8,AAA,2013J,forumng,155854,-10,F,East Midlands Region,A Level or Equivalent,20-30%,35-55,0,60,N,Pass
27,AAA,2013J,homepage,155854,-10,F,East Midlands Region,A Level or Equivalent,20-30%,35-55,0,60,N,Pass
54,AAA,2013J,oucontent,155854,-10,F,East Midlands Region,A Level or Equivalent,20-30%,35-55,0,60,N,Pass
9,AAA,2013J,resource,155854,-10,F,East Midlands Region,A Level or Equivalent,20-30%,35-55,0,60,N,Pass
10,AAA,2013J,subpage,155854,-10,F,East Midlands Region,A Level or Equivalent,20-30%,35-55,0,60,N,Pass
1,AAA,2013J,url,155854,-10,F,East Midlands Region,A Level or Equivalent,20-30%,35-55,0,60,N,Pass
10,AAA,2013J,forumng,155984,-10,F,East Anglian Region,Lower Than A Level,70-80%,0-35,0,60,N,Withdrawn
10,AAA,2013J,forumng,155984,-10,F,East Anglian Region,Lower Than A Level,70-80%,0-35,1,120,N,Pass
17,AAA,2013J,homepage,155984,-10,F,East Anglian Region,Lower Than A Level,70-80%,0-35,0,60,N,Withdrawn
17,AAA,2013J,homepage,155984,-10,F,East Anglian Region,Lower Than A Level,70-80%,0-35,1,120,N,Pass
21,AAA,2013J,oucontent,155984,-10,F,East Anglian Region,Lower Than A Level,70-80%,0-35,0,60,N,Withdrawn
21,AAA,2013J,oucontent,155984,-10,F,East Anglian Region,Lower Than A Level,70-80%,0-35,1,120,N,Pass
1,AAA,2013J,resource,155984,-10,F,East Anglian Region,Lower Than A Level,70-80%,0-35,0,60,N,Withdrawn
1,AAA,2013J,resource,155984,-10,F,East Anglian Region,Lower Than A Level,70-80%,0-35,1,120,N,Pass
9,AAA,2013J,subpage,155984,-10,F,East Anglian Region,Lower Than A Level,70-80%,0-35,0,60,N,Withdrawn
9,AAA,2013J,subpage,155984,-10,F,East Anglian Region,Lower Than A Level,70-80%,0-35,1,120,N,Pass
1,AAA,2013J,url,155984,-10,F,East Anglian Region,Lower Than A Level,70-80%,0-35,0,60,N,Withdrawn
1,AAA,2013J,url,155984,-10,F,East Anglian Region,Lower Than A Level,70-80%,0-35,1,120,N,Pass
4,AAA,2013J,forumng,159954,-10,M,East Midlands Region,A Level or Equivalent,40-50%,35-55,0,60,N,Withdrawn
4,AAA,2013J,forumng,159954,-10,M,East Midlands Region,A Level or Equivalent,40-50%,35-55,1,60,N,Withdrawn
6,AAA,2013J,homepage,159954,-10,M,East Midlands Region,A Level or Equivalent,40-50%,35-55,0,60,N,Withdrawn
6,AAA,2013J,homepage,159954,-10,M,East Midlands Region,A Level or Equivalent,40-50%,35-55,1,60,N,Withdrawn
11,AAA,2013J,oucontent,159954,-10,M,East Midlands Region,A Level or Equivalent,40-50%,35-55,0,60,N,Withdrawn
11,AAA,2013J,oucontent,159954,-10,M,East Midlands Region,A Level or Equivalent,40-50%,35-55,1,60,N,Withdrawn
1,AAA,2013J,subpage,159954,-10,M,East Midlands Region,A Level or Equivalent,40-50%,35-55,0,60,N,Withdrawn
1,AAA,2013J,subpage,159954,-10,M,East Midlands Region,A Level or Equivalent,40-50%,35-55,1,60,N,Withdrawn
2,AAA,2013J,forumng,164259,-10,M,Scotland,A Level or Equivalent,70-80%,0-35,0,60,N,Pass
3,AAA,2013J,homepage,164259,-10,M,Scotland,A Level or Equivalent,70-80%,0-35,0,60,N,Pass
1,AAA,2013J,oucontent,164259,-10,M,Scotland,A Level or Equivalent,70-80%,0-35,0,60,N,Pass
1,AAA,2013J,dataplus,167906,-10,F,Yorkshire Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass
13,AAA,2013J,homepage,167906,-10,F,Yorkshire Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass
93,AAA,2013J,oucontent,167906,-10,F,Yorkshire Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass
2,AAA,2013J,resource,167906,-10,F,Yorkshire Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass
7,AAA,2013J,subpage,167906,-10,F,Yorkshire Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass
2,AAA,2013J,url,167906,-10,F,Yorkshire Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass
6,AAA,2013J,forumng,172112,-10,M,Ireland,HE Qualification,,35-55,0,60,N,Pass
5,AAA,2013J,homepage,172112,-10,M,Ireland,HE Qualification,,35-55,0,60,N,Pass
8,AAA,2013J,oucontent,172112,-10,M,Ireland,HE Qualification,,35-55,0,60,N,Pass
1,AAA,2013J,subpage,172112,-10,M,Ireland,HE Qualification,,35-55,0,60,N,Pass
8,AAA,2013J,forumng,172797,-10,F,Ireland,A Level or Equivalent,,35-55,0,60,N,Pass
17,AAA,2013J,homepage,172797,-10,F,Ireland,A Level or Equivalent,,35-55,0,60,N,Pass
31,AAA,2013J,oucontent,172797,-10,F,Ireland,A Level or Equivalent,,35-55,0,60,N,Pass
5,AAA,2013J,resource,172797,-10,F,Ireland,A Level or Equivalent,,35-55,0,60,N,Pass
25,AAA,2013J,subpage,172797,-10,F,Ireland,A Level or Equivalent,,35-55,0,60,N,Pass
3,AAA,2013J,url,172797,-10,F,Ireland,A Level or Equivalent,,35-55,0,60,N,Pass
9,AAA,2013J,forumng,174782,-10,M,East Anglian Region,HE Qualification,90-100%,55<=,0,60,N,Pass
20,AAA,2013J,homepage,174782,-10,M,East Anglian Region,HE Qualification,90-100%,55<=,0,60,N,Pass
60,AAA,2013J,oucontent,174782,-10,M,East Anglian Region,HE Qualification,90-100%,55<=,0,60,N,Pass
2,AAA,2013J,resource,174782,-10,M,East Anglian Region,HE Qualification,90-100%,55<=,0,60,N,Pass
13,AAA,2013J,subpage,174782,-10,M,East Anglian Region,HE Qualification,90-100%,55<=,0,60,N,Pass
1,AAA,2013J,dataplus,175392,-10,M,North Region,HE Qualification,,35-55,0,60,N,Pass
18,AAA,2013J,forumng,175392,-10,M,North Region,HE Qualification,,35-55,0,60,N,Pass
21,AAA,2013J,homepage,175392,-10,M,North Region,HE Qualification,,35-55,0,60,N,Pass
24,AAA,2013J,oucontent,175392,-10,M,North Region,HE Qualification,,35-55,0,60,N,Pass
